,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,,,,,,0,0,0
1,27/11/2024,,,,,,0,0,0
2,26/11/2024,,,,,,0,0,0
3,25/11/2024,,,,,,0,0,0
4,22/11/2024,,,,,,0,0,0
5,21/11/2024,,,,,,0,0,0
6,20/11/2024,,,,,,0,0,0
7,19/11/2024,,,,,,0,0,0
8,18/11/2024,,,,,,0,0,0
9,15/11/2024,,,,,,0,0,0
10,14/11/2024,,,,,,0,0,0
11,13/11/2024,,,,,,0,0,0
12,12/11/2024,,,,,,0,0,0
13,11/11/2024,,,,,,0,0,3.075.000
14,08/11/2024,,,,,,0,0,0
15,07/11/2024,,,,,,0,0,0
16,06/11/2024,,,,,,0,0,0
17,05/11/2024,,,,,,0,0,0
18,08/11/2024,,,,,,0,0,0
19,07/11/2024,,,,,,0,0,0
20,06/11/2024,,,,,,0,0,0
21,05/11/2024,,,,,,0,0,0
